titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Motorola Moto G6 Plus para repuesto,40000,24-08-2023,18:03:51,"Santiago, Región Metropolitana"
Motorola g9 play rosa,90000,24-08-2023,11:28:10,"Quinta Normal, Región Metropolitana"
Motorolla One Fusion,50000,24-08-2023,11:19:17,"San Miguel, Región Metropolitana"
Motorola g9 plus,30000,23-08-2023,18:02:23,"La Florida, Región Metropolitana"
5 .pilas motorola ep450 semi nuevas $50.000 mil,210000,22-08-2023,16:25:46,"La Cisterna, Región Metropolitana"
Motorola EDGE 30 NEO,60000,22-08-2023,14:40:02,"Puente Alto, Región Metropolitana"
Motorola One Fision,180000,22-08-2023,11:19:18,"Maipú, Región Metropolitana"
2 Motorola y 3 smartwatch,80000,21-08-2023,22:09:59,"Padre Hurtado, Región Metropolitana"
Motorola Moto X4,110000,21-08-2023,18:03:22,"Las Condes, Región Metropolitana"
Motorola Moto g13,10000,21-08-2023,15:29:57,"Santiago, Región Metropolitana"
Auricular Motorola para radio portátil,80000,21-08-2023,09:32:05,"Peñalolén, Región Metropolitana"
Motorola e 32 ,139900,20-08-2023,14:38:43,"Quilicura, Región Metropolitana"
"Motorola Moto G71 5G , 6/128Gb",50000,20-08-2023,12:46:59,"Santiago, Región Metropolitana"
Motorola G20 4GBram 64GBmemoria,120000,19-08-2023,20:51:00,"San Bernardo, Región Metropolitana"
Motorola G71 5G,50000,19-08-2023,11:30:16,"Maipú, Región Metropolitana"
Celular Motorola e7i impecable,700000,19-08-2023,02:42:37,"Puente Alto, Región Metropolitana"
Radio Motorola DGM 8500e,280000,18-08-2023,13:59:22,"Maipú, Región Metropolitana"
Motorola APX 1000 VHF/GPS + Cuna,100000,18-08-2023,12:13:25,"Santiago, Región Metropolitana"
Motorola G13,70000,18-08-2023,11:50:35,"Santiago, Región Metropolitana"
Celular Motorola one macro,100000,17-08-2023,22:49:49,"Puente Alto, Región Metropolitana"
Motorola g60s,100000,17-08-2023,20:57:24,"Puente Alto, Región Metropolitana"
Celular Motorola g 22,110000,17-08-2023,17:50:37,"La Reina, Región Metropolitana"
Smartphone Motorola,210000,17-08-2023,17:20:26,"La Cisterna, Región Metropolitana"
Pro7150 vhf Motorola,8000,17-08-2023,13:00:56,"Maipú, Región Metropolitana"
Cargador Motorola 10 USB tipo C,90000,17-08-2023,11:22:45,"Santiago, Región Metropolitana"
Motorola G51 5G,200000,16-08-2023,16:03:59,"Santiago, Región Metropolitana"
Motorola Edge 30 neo,50000,16-08-2023,15:20:28,"Maipú, Región Metropolitana"
Motorola one action 128gb,20000,15-08-2023,23:25:32,"Quilicura, Región Metropolitana"
Celular Motorola G Play,65000,15-08-2023,20:53:09,"Puente Alto, Región Metropolitana"
Motorola E20,320000,14-08-2023,14:06:15,"La Florida, Región Metropolitana"
Radio Motorola XTS 2500 800 MHz APCO25,379000,14-08-2023,10:02:48,"Santiago, Región Metropolitana"
Radio Motorola DGP 8550E VHF Bomberos Dgital,260000,14-08-2023,09:54:48,"Santiago, Región Metropolitana"
Motorola edge 30 neo,140000,14-08-2023,07:20:33,"Maipú, Región Metropolitana"
Motorola G53 5G 128 GN nuevo,200000,13-08-2023,20:10:13,"Puente Alto, Región Metropolitana"
Motorola G71 5G,75000,13-08-2023,10:06:33,"Recoleta, Región Metropolitana"
Motorola G9 Power,80000,12-08-2023,19:40:12,"San Miguel, Región Metropolitana"
Motorola g31 ,780000,12-08-2023,19:35:49,"Quinta Normal, Región Metropolitana"
Motorola Razr 40 Ultra,100000,12-08-2023,11:00:34,"San Joaquín, Región Metropolitana"
Motorola e 22i,270000,11-08-2023,14:31:21,"La Florida, Región Metropolitana"
Motorola vhf mototrbo digital 6150,270000,10-08-2023,15:26:33,"Maipú, Región Metropolitana"
Motorola mototrbo vhf 6150,110000,10-08-2023,14:37:44,"Maipú, Región Metropolitana"
Motorola G51 5 G,10000,10-08-2023,12:35:11,"Independencia, Región Metropolitana"
Motorola DGP 5550,60000,10-08-2023,07:00:30,"Macul, Región Metropolitana"
Carcasas fundas Motorola Moto G60 nuevas,100000,09-08-2023,21:25:14,"Santiago, Región Metropolitana"
2 Radios Motorola T260 conversable,90000,09-08-2023,17:10:42,"Puente Alto, Región Metropolitana"
Celular Motorola g53,0,08-08-2023,23:30:38,"San Ramón, Región Metropolitana"
Motorola G8 Plus 64 Gb Azul Nocturno,0,08-08-2023,17:32:01,"Quilicura, Región Metropolitana"
0,0,0,,0
0,0,0,,0
0,0,0,,0
